System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
001,DM-BV-07,38.0,Cameras in wrong housing all day,1,426102fa-4c44-4c2f-b567-d5207a740538,9/20/2023 11:46:44 PM,Claude.Spencer_UWA,9/22/2023 12:05:52 AM,Claude.Spencer_UWA,116.896768479346,-20.3304983128109
002,DM-BV-04,37.3,Showed 10,2,ad62a8b5-77d1-471f-9be7-16565b5b924b,9/20/2023 11:55:02 PM,Claude.Spencer_UWA,9/20/2023 11:55:02 PM,Claude.Spencer_UWA,116.91719934535,-20.3267210243677
03,DM-BV-10,37.4,Showed 4 at start corrected before deploy,3,4e707809-4031-4e79-9d2c-397a7011acf2,9/21/2023 12:04:51 AM,Claude.Spencer_UWA,9/21/2023 12:04:51 AM,Claude.Spencer_UWA,116.898553333001,-20.3178727110612
04,DM-BV-24,37.4,,4,22ca307f-bcdc-49dc-9d6c-f8f215f12b0e,9/21/2023 12:15:40 AM,Claude.Spencer_UWA,9/21/2023 12:15:40 AM,Claude.Spencer_UWA,116.926144565032,-20.3104547840182
05,DM-BV-20,36.4,,5,dff5f286-71f2-4d13-a085-631cc5ca5fc5,9/21/2023 12:24:25 AM,Claude.Spencer_UWA,9/21/2023 12:24:25 AM,Claude.Spencer_UWA,116.952629636774,-20.3003364128112
06,DM-BV-17,36.1,,6,1d41a3a4-7d69-4189-baa2-9b6cb811e6f1,9/21/2023 12:30:34 AM,Claude.Spencer_UWA,9/21/2023 12:30:34 AM,Claude.Spencer_UWA,116.956758333346,-20.3101267689846
07,DM-BV-13,35.1,,7,12c3615b-4629-4fc0-9443-1988aaafa3a2,9/21/2023 12:34:56 AM,Claude.Spencer_UWA,9/21/2023 12:34:56 AM,Claude.Spencer_UWA,116.955582681184,-20.3140586365374
08,DM-BV-02,33.7,,8,4af0edba-784e-447a-a62e-4b961d876879,9/21/2023 12:41:09 AM,Claude.Spencer_UWA,9/21/2023 12:41:09 AM,Claude.Spencer_UWA,116.952859115905,-20.3250921473389
1,DM-BV-06,38.2,,9,78894f09-bc32-43f2-afe8-845f988277d9,9/21/2023 2:11:35 AM,Claude.Spencer_UWA,9/21/2023 2:11:35 AM,Claude.Spencer_UWA,116.940303333534,-20.3295666665343
2,DM-BV-01,37.8,,10,f6b65cbc-4dd4-48bc-8c30-7109636f2ff7,9/21/2023 2:19:29 AM,Claude.Spencer_UWA,9/21/2023 2:19:29 AM,Claude.Spencer_UWA,116.930877399293,-20.3413608746941
3,DM-BV-03,36,Point in wrong spot,11,ba85ed98-d2a2-4bbf-8958-b112e0744312,9/21/2023 2:28:38 AM,Claude.Spencer_UWA,9/21/2023 2:28:38 AM,Claude.Spencer_UWA,116.95347666634,-20.3566100002682
4,DM-BV-09,37.0,,12,cf5af156-8408-4db3-a998-029008f6b5a0,9/21/2023 2:33:28 AM,Claude.Spencer_UWA,9/21/2023 2:33:28 AM,Claude.Spencer_UWA,116.961633333187,-20.3454583333995
05,DM-BV-08,35.5,,13,a7c92594-c65f-40da-898c-ac228d52f65a,9/21/2023 2:44:28 AM,Claude.Spencer_UWA,9/21/2023 2:44:28 AM,Claude.Spencer_UWA,116.983153116317,-20.3607749088287
6,DM-BV-05,34.5,,14,3aa4c1db-2300-4cde-ae42-efdecbb00932,9/21/2023 2:52:43 AM,Claude.Spencer_UWA,9/21/2023 2:52:43 AM,Claude.Spencer_UWA,116.993779856447,-20.3687865585464
7,DM-BV-14,35.2,,15,3c0e48aa-e928-416f-a7cb-5fa4ee53c284,9/21/2023 3:05:57 AM,Claude.Spencer_UWA,9/21/2023 3:05:57 AM,Claude.Spencer_UWA,117.016619956432,-20.3474213109509
8,DM-BV-16,34.9,,16,af88a8e2-29b3-45f3-abab-b4a70c4f8703,9/21/2023 3:16:33 AM,Claude.Spencer_UWA,9/21/2023 3:16:33 AM,Claude.Spencer_UWA,117.03064333355,-20.3376146685782
1,DM-BV-51,35.5,,17,807ac9b0-c03d-4b6c-9e17-04d79aafd705,9/21/2023 5:22:27 AM,Claude.Spencer_UWA,9/21/2023 6:13:47 AM,Claude.Spencer_UWA,117.034846666647,-20.3375516667592
2,DM-BV-22,36.0,,18,a9594ed4-fb68-4ed7-b8a4-ee000d334626,9/21/2023 5:30:54 AM,Claude.Spencer_UWA,9/21/2023 5:30:54 AM,Claude.Spencer_UWA,117.017481666266,-20.3313316664917
3,DM-DC-15,36.9,,19,f4c98238-8e28-4e21-b023-ffb038ecba5b,9/21/2023 5:40:28 AM,Claude.Spencer_UWA,9/21/2023 5:40:41 AM,Claude.Spencer_UWA,116.997080000001,-20.3296300001271
4,DM-BV-12,36.7,,20,d100ede6-08c9-4908-a5e8-90d8048ac2d2,9/21/2023 5:45:08 AM,Claude.Spencer_UWA,9/21/2023 5:45:08 AM,Claude.Spencer_UWA,116.994851666955,-20.3242433333858
5,DM-BV-11,37.1,,21,0ec00364-9062-4284-849a-ced1c28fa311,9/21/2023 5:52:40 AM,Claude.Spencer_UWA,9/21/2023 5:52:40 AM,Claude.Spencer_UWA,116.980318333318,-20.3172050003294
6,DM-BV-21,37.8,,22,d3e2d094-4746-441d-9ed9-be6e677569fc,9/21/2023 5:58:41 AM,Claude.Spencer_UWA,9/21/2023 5:58:41 AM,Claude.Spencer_UWA,116.976335000329,-20.3078783335555
7,DM-BV-19,39.2,,23,41c012af-3291-4cc9-8a69-35c09f4579bc,9/21/2023 6:05:40 AM,Claude.Spencer_UWA,9/21/2023 6:05:40 AM,Claude.Spencer_UWA,116.994069999707,-20.3010966664521
