System #,North top camera,North top card,North bottom camera,North bottom card,East top camera,East top card,East bottom camera,East bottom card,South top camera,South top card,South bottom camera,South bottom card,West top camera,West top card,West bottom camera,West bottom card,Downwards camera,Downwards card,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,019,246,020,241,021,214,022,225,023,240,024,203,025,248,026,228,014,226,1,5a57a865-53e7-4dae-8d77-d567c566217d,9/19/2023 6:29:22 AM,Claude.Spencer_UWA,9/19/2023 6:29:22 AM,Claude.Spencer_UWA,117.114449405905,-20.3703430346085
1,019,249,020,221,021,211,022,231,023,113,024,247,025,223,026,216,014,112,2,602fcd5b-2aa4-4c11-98e8-3837eb75e415,9/21/2023 8:54:36 AM,Claude.Spencer_UWA,9/21/2023 8:54:36 AM,Claude.Spencer_UWA,116.879558494047,-20.4797149136169
1,19,239,20,228,21,216,22,214,23,223,24,245,25,218,26,225,14,203,3,d5e299bd-7b32-4488-9030-c8eb2af4b09d,9/23/2023 10:03:12 AM,Claude.Spencer_UWA,9/23/2023 10:03:12 AM,Claude.Spencer_UWA,116.924971180217,-20.6242113096241
1,019,244,020,207,021,113,022,210,023,205,024,245,025,202,026,226,014,223,4,bb2da016-76ae-428f-943a-2e1d3099e9c5,9/26/2023 3:05:36 AM,Claude.Spencer_UWA,9/26/2023 3:05:36 AM,Claude.Spencer_UWA,116.912840840864,-20.6050583406087
1,019,230,020,207,021,229,022,239,023,249,024,218,025,216,026,210,014,237,5,92f0f4ad-0c10-4970-abac-2bebb3c4085b,9/27/2023 11:51:44 PM,Claude.Spencer_UWA,9/27/2023 11:51:44 PM,Claude.Spencer_UWA,116.902881673856,-20.6388272502679
