"","lat","long","pointnum","dropcode","selected"
"1",117.061240917501,-20.308750090566,1,"DAMP1","MBH"
"2",117.0562418128,-20.311254842461,2,"DAMP2","MBH"
"3",117.063741946218,-20.3112522708519,3,"DAMP3","MBH"
"4",117.076243391442,-20.3137503420998,4,"DAMP4","MBH"
"5",117.056243621217,-20.3162609871859,5,"DAMP5","MBH"
"6",117.081244864782,-20.3162511622501,6,"DAMP6","MBH"
"7",117.066246250995,-20.3212636269178,7,"DAMP7","MBH"
"8",117.091249760035,-20.3237554375845,8,"DAMP8","MBH"
"9",117.056248144636,-20.3287763364725,9,"DAMP9","MBH"
"10",117.058749416021,-20.3312785818216,10,"DAMP10","MBH"
"11",117.078752341384,-20.3312707155627,11,"DAMP11","MBH"
"12",117.07875360876,-20.3337737813943,12,"DAMP12","MBH"
"13",117.073753984925,-20.3362790282203,13,"DAMP13","MBH"
"14",117.071254685988,-20.33878313025,14,"DAMP14","MBH"
"15",117.088759514795,-20.3412781806495,15,"DAMP15","MBH"
"16",117.066255846636,-20.3437912256393,16,"DAMP16","MBH"
"17",117.086260378302,-20.3437824952972,17,"DAMP17","MBH"
"18",117.05375387519,-20.346298582629,18,"DAMP18","MBH"
"19",117.076259341836,-20.3462902091408,19,"DAMP19","MBH"
"20",117.071259275726,-20.3487953824034,20,"DAMP20","MBH"
"21",117.056256295348,-20.3513039200717,21,"DAMP21","MBH"
"22",117.083763859638,-20.3512928955021,22,"DAMP22","MBH"
"23",117.093766605273,-20.351287812608,23,"DAMP23","MBH"
"24",117.081264481952,-20.3537971366758,24,"DAMP24","MBH"
"25",117.061259645894,-20.3563083591502,25,"DAMP25","MBH"
"26",117.09126886004,-20.3562952548863,26,"DAMP26","MBH"
"27",117.058759823952,-20.3588122781368,27,"DAMP27","MBH"
"28",117.066262250933,-20.3588095925482,28,"DAMP28","MBH"
"29",117.073765865494,-20.361309642883,29,"DAMP29","MBH"
"30",117.056260828279,-20.3638192192126,30,"DAMP30","MBH"
"31",117.058761718149,-20.3638183954225,31,"DAMP31","MBH"
"32",117.093774160642,-20.3638031009884,32,"DAMP32","MBH"
"33",117.056261735273,-20.3663222768899,33,"DAMP33","MBH"
"34",117.083771959509,-20.3663112434822,34,"DAMP34","MBH"
"35",117.088773816333,-20.3663087716524,35,"DAMP35","MBH"
"36",117.061264583298,-20.3688236499977,36,"DAMP36","MBH"
"37",117.066266523667,-20.3688218228165,37,"DAMP37","MBH"
"38",117.078771372006,-20.3688166278006,38,"DAMP38","MBH"
"39",117.058764560509,-20.371327565973,39,"DAMP39","MBH"
"40",117.068768602554,-20.3713239111228,40,"DAMP40","MBH"
