"siteID","lon_WGS84","lat_WGS84","ip"
"DM-BV-01",116.93080363997,-20.3412917145838,"1.75964396573105e-07"
"DM-BV-02",116.952865515185,-20.3248424186588,"1.75964396573105e-07"
"DM-BV-03",116.952162085356,-20.3569043197416,"1.75964396573105e-07"
"DM-BV-04",116.917178029008,-20.3266733339016,"1.75964396573105e-07"
"DM-BV-05",116.993765002937,-20.368683482927,"1.75964396573105e-07"
"DM-BV-06",116.940360433048,-20.3296622158385,"1.75964396573105e-07"
"DM-BV-07",116.896943886516,-20.3304918766801,"1.75964396573105e-07"
"DM-BV-08",116.983081275738,-20.3608807122701,"1.75964396573105e-07"
"DM-BV-09",116.961718041418,-20.3452729461281,"1.75964396573105e-07"
"DM-BV-10",116.898776520866,-20.3178672537114,"1.75964396573105e-07"
"DM-BV-11",116.980275011265,-20.3171896435991,"2.76645081814593e-07"
"DM-BV-12",116.994951158204,-20.3242019895053,"2.76645081814593e-07"
"DM-BV-13",116.955631955142,-20.3140195638672,"2.76645081814593e-07"
"DM-BV-14",117.016695144631,-20.3474993597225,"2.76645081814593e-07"
"DM-BV-15",116.997305498723,-20.3296310121574,"2.76645081814593e-07"
"DM-BV-16",117.030660934752,-20.3375462613699,"3.5245281203034e-07"
"DM-BV-17",116.956806315204,-20.3098907878811,"3.5245281203034e-07"
"DM-BV-18",117.014765927477,-20.3127966065344,"3.5245281203034e-07"
"DM-BV-19",116.994218215749,-20.3010743952512,"3.5245281203034e-07"
"DM-BV-20",116.952638332367,-20.3002691552288,"3.5245281203034e-07"
"DM-BV-21",116.976555403188,-20.307889135266,"3.5245281203034e-07"
"DM-BV-22",117.017653760346,-20.3313364011379,"3.5245281203034e-07"
"DM-BV-23",117.022311713753,-20.318306656261,"3.5245281203034e-07"
"DM-BV-24",116.926139949661,-20.3104821333012,"3.5245281203034e-07"
"DM-BV-25",116.995016667574,-20.3148039425911,"3.5245281203034e-07"
"DM-BV-26",117.106562406222,-20.302556757473,"5.85571562670551e-07"
"DM-BV-27",117.068567457135,-20.3717596583794,"5.85571562670551e-07"
"DM-BV-28",117.08814750015,-20.3707342975357,"5.85571562670551e-07"
"DM-BV-29",117.106733866844,-20.3766325848254,"5.85571562670551e-07"
"DM-BV-30",117.069562983867,-20.3648334837663,"5.85571562670551e-07"
"DM-BV-31",117.096993233994,-20.3542305135854,"5.85571562670551e-07"
"DM-BV-32",117.097622646011,-20.3648904778154,"5.85571562670551e-07"
"DM-BV-33",117.039881873223,-20.3610361758779,"5.85571562670551e-07"
"DM-BV-34",117.099610072028,-20.3510379570511,"5.85571562670551e-07"
"DM-BV-35",117.079038574271,-20.358991050376,"5.85571562670551e-07"
"DM-BV-36",117.062078369331,-20.3568231962614,"5.85571562670551e-07"
"DM-BV-37",117.077048610211,-20.3728434716494,"5.85571562670551e-07"
"DM-BV-38",117.091130273007,-20.349955624119,"5.85571562670551e-07"
"DM-BV-39",117.068305788275,-20.305629141439,"1.82231992940438e-07"
"DM-BV-40",117.058923434302,-20.3170722277547,"1.82231992940438e-07"
"DM-BV-41",117.078811058659,-20.3132936212616,"1.82231992940438e-07"
"DM-BV-42",117.095135335727,-20.3343433833668,"1.82231992940438e-07"
"DM-BV-43",117.081061601466,-20.3515116258454,"1.82231992940438e-07"
"DM-BV-44",117.062952734599,-20.3428750146182,"1.82231992940438e-07"
"DM-BV-45",117.066337266941,-20.3383514386021,"7.74161939237536e-07"
"DM-BV-46",117.037197138859,-20.3193025229786,"7.74161939237536e-07"
"DM-BV-47",117.051384134733,-20.3119278152447,"7.74161939237536e-07"
"DM-BV-48",117.055287899237,-20.3369380974459,"7.74161939237536e-07"
"DM-BV-49",117.034381015899,-20.3128140301099,"7.74161939237536e-07"
"DM-BV-50",117.052249498653,-20.3059110858973,"7.74161939237536e-07"
"DM-BV-51",117.03459819801,-20.3373530649571,"7.74161939237536e-07"
"DM-BV-52",117.087344842367,-20.3226533458491,"7.74161939237536e-07"
"DM-BV-53",117.051604835232,-20.3364667809409,"7.74161939237536e-07"
"DM-BV-54",117.054643850478,-20.3674956002089,"7.74161939237536e-07"
"DM-BV-55",117.080524729108,-20.3309733615274,"7.74161939237536e-07"
"DM-BV-56",117.046293568934,-20.308212323553,"7.74161939237536e-07"
"DM-BV-57",117.050416631174,-20.3577625350109,"7.74161939237536e-07"
"DM-BV-58",117.180015188651,-20.4330404487311,"3.33594169656618e-07"
"DM-BV-59",117.135175237809,-20.3666273158953,"3.33594169656618e-07"
"DM-BV-60",117.172241862156,-20.4273831918573,"3.33594169656618e-07"
"DM-BV-61",117.154544408183,-20.4111234298656,"3.33594169656618e-07"
"DM-BV-62",117.180859190335,-20.4471589837194,"3.33594169656618e-07"
"DM-BV-63",117.123943615256,-20.3651968285139,"3.33594169656618e-07"
"DM-BV-64",117.168403096114,-20.3942037331934,"3.33594169656618e-07"
"DM-BV-65",117.13601342472,-20.3807443800257,"3.33594169656618e-07"
"DM-BV-66",117.166815019229,-20.3052767255914,"3.33594169656618e-07"
"DM-BV-67",117.13182448606,-20.3101627660388,"3.33594169656618e-07"
"DM-BV-68",117.170556395087,-20.3991474206134,"3.33594169656618e-07"
"DM-BV-69",117.141630011742,-20.3814592538071,"3.33594169656618e-07"
"DM-BV-70",117.139952489562,-20.3532255280762,"3.33594169656618e-07"
"DM-BV-71",117.170930722599,-20.4365575897735,"3.33594169656618e-07"
"DM-BV-72",117.16063287159,-20.3885462101204,"3.33594169656618e-07"
"DM-BV-73",117.128245629245,-20.3750851119341,"3.33594169656618e-07"
