"siteID","lon_WGS84","lat_WGS84","ip","geometry"
"DM-BV-020",116.99292190535,-20.3247487030914,5.28546398323875e-07,c(-1761022.32738973, -2448146.84486461)
"DM-BV-021",117.000790663477,-20.3331811958738,5.28546398323875e-07,c(-1760087.31421228, -2448956.59002915)
"DM-BV-022",116.985054266622,-20.3163158803499,5.28546398323875e-07,c(-1761957.34056717, -2447337.09970007)
"DM-BV-023",117.015222568446,-20.3276111012293,5.28546398323875e-07,c(-1758684.79444611, -2448146.84486461)
"DM-BV-024",116.958297025356,-20.312874570897,5.28546398323875e-07,c(-1764762.38009951, -2447337.09970007)
"DM-BV-025",117.029440267877,-20.3170111492258,5.57787325414901e-07,c(-1757378.7199707, -2446791.45639623)
"DM-BV-026",116.994707032376,-20.3125547626904,5.57787325414901e-07,c(-1761019.74105583, -2446791.45639623)
"DM-BV-027",116.954609123516,-20.3146240805089,5.57787325414901e-07,c(-1765115.8897766, -2447579.76058509)
"DM-BV-028",116.925248407598,-20.3036149382211,5.57787325414901e-07,c(-1768301.78322609, -2446791.45639623)
"DM-BV-029",117.003390096409,-20.3136697047703,5.57787325414901e-07,c(-1760109.48578454, -2446791.45639623)
"DM-BV-030",117.010413933903,-20.3109585529783,5.57787325414901e-07,c(-1759426.79433108, -2446397.3043018)
"DM-BV-031",116.932902744698,-20.3118277149558,5.57787325414901e-07,c(-1767391.5279548, -2447579.76058509)
"DM-BV-032",116.932273435007,-20.3009079586907,5.57787325414901e-07,c(-1767619.09177262, -2446397.3043018)
"DM-BV-033",116.980024388103,-20.3070554124894,5.57787325414901e-07,c(-1762612.68778057, -2446397.3043018)
"DM-BV-034",117.033143474517,-20.3066481681975,5.57787325414901e-07,c(-1757151.15615288, -2445609.00011294)
"DM-BV-035",116.951294164157,-20.3069715987284,5.57787325414901e-07,c(-1765571.01741224, -2446791.45639623)
"DM-BV-036",117.029056749129,-20.3350251548354,5.57787325414901e-07,c(-1757151.15615288, -2448762.21686838)
"DM-BV-037",116.994072026734,-20.3016352846213,5.57787325414901e-07,c(-1761247.30487365, -2445609.00011294)
"DM-BV-038",117.011436706725,-20.3038646418073,5.57787325414901e-07,c(-1759426.79433108, -2445609.00011294)
"DM-BV-039",116.919879409136,-20.3101482051042,5.57787325414901e-07,c(-1768756.91086173, -2447579.76058509)
"DM-BV-040",117.014369728338,-20.3295293564823,5.57787325414901e-07,c(-1758744.10287762, -2448368.06477395)
"DM-BV-041",117.094897357625,-20.3059530168772,6.52971602711681e-07,c(-1750804.65505907, -2444671.25977456)
"DM-BV-042",117.068489620158,-20.376017376062,6.52971602711681e-07,c(-1752486.86243477, -2452683.8485444)
"DM-BV-043",117.093861602045,-20.3558904673179,6.52971602711681e-07,c(-1750173.82729318, -2450134.38848127)
"DM-BV-044",117.112990037282,-20.3650068837531,6.52971602711681e-07,c(-1748071.06807356, -2450862.80564216)
"DM-BV-045",117.110259248698,-20.3412922835372,6.52971602711681e-07,c(-1748701.89583945, -2448313.34557903)
"DM-BV-046",117.066953814337,-20.3724827097951,6.52971602711681e-07,c(-1752697.13835673, -2452319.63996395)
"DM-BV-047",117.074981909399,-20.3735087346409,6.52971602711681e-07,c(-1751856.03466888, -2452319.63996395)
"DM-BV-048",117.102829190376,-20.3503586279036,6.52971602711681e-07,c(-1749332.72360533, -2449405.97132037)
"DM-BV-049",117.034842825141,-20.3683737942925,6.52971602711681e-07,c(-1756061.55310813, -2452319.63996395)
"DM-BV-050",117.086775793161,-20.3483095412029,6.52971602711681e-07,c(-1751014.93098103, -2449405.97132037)
"DM-BV-051",117.094457127794,-20.3659809839153,6.52971602711681e-07,c(-1749963.55137122, -2451227.01422261)
"DM-BV-052",117.099411706212,-20.3599369163009,6.52971602711681e-07,c(-1749542.99952729, -2450498.59706171)
"DM-BV-053",117.062346946517,-20.3618787458427,6.52971602711681e-07,c(-1753327.96612262, -2451227.01422261)
"DM-BV-054",117.087370677546,-20.3583999452467,6.52971602711681e-07,c(-1750804.65505907, -2450498.59706171)
"DM-BV-055",117.096934480172,-20.3629589645341,6.52971602711681e-07,c(-1749753.27544926, -2450862.80564216)
"DM-BV-056",117.111453047075,-20.3614728037493,6.52971602711681e-07,c(-1748281.34399552, -2450498.59706171)
"DM-BV-057",117.100830723027,-20.3414894187461,2.67370238551746e-07,c(-1749669.29096647, -2448466.08810264)
"DM-BV-058",117.046177766551,-20.3658403715556,2.67370238551746e-07,c(-1754932.91850868, -2451884.91447835)
"DM-BV-059",117.078663541292,-20.3177696102536,2.67370238551746e-07,c(-1752301.10473758, -2446186.87051884)
"DM-BV-060",117.041926810369,-20.3287371244306,2.67370238551746e-07,c(-1755919.84867284, -2447896.28370669)
"DM-BV-061",117.063541669927,-20.3785074959636,2.67370238551746e-07,c(-1752959.05818035, -2453024.52327025)
"DM-BV-062",117.106176122454,-20.3265046877275,2.67370238551746e-07,c(-1749340.31424509, -2446756.67491479)
"DM-BV-063",117.1076465599,-20.3162480692616,2.67370238551746e-07,c(-1749340.31424509, -2445617.06612289)
"DM-BV-064",117.077734367409,-20.3019844082158,2.67370238551746e-07,c(-1752630.08145897, -2444477.45733098)
"DM-BV-065",117.073823611181,-20.3307472579765,9.14623936329562e-07,c(-1752607.39786377, -2447670.35025975)
"DM-BV-066",117.055185467955,-20.3763158124102,9.14623936329562e-07,c(-1753851.13223961, -2452902.00586136)
"DM-BV-067",117.045903015228,-20.332816739528,9.14623936329562e-07,c(-1755450.21929427, -2448285.83915406)
"DM-BV-068",117.040217575908,-20.3123444969868,9.14623936329562e-07,c(-1756338.60099129, -2446131.62802398)
