"family","genus","species","ALA","CSIRO","UWA","New"
"Acanthuridae","Acanthurus","grammoptilus",FALSE,FALSE,TRUE,TRUE
"Antennariidae","Lophiocharon","trisignatus",TRUE,FALSE,FALSE,FALSE
"Apistidae","Apistops","caloundra",TRUE,FALSE,FALSE,FALSE
"Apistidae","Apistus","carinatus",TRUE,FALSE,FALSE,FALSE
"Aploactinidae","Bathyaploactis","curtisensis",TRUE,FALSE,FALSE,FALSE
"Aploactinidae","Paraploactis","kagoshimensis",FALSE,TRUE,FALSE,FALSE
"Apogonidae","Apogonichthyoides","atripes",TRUE,TRUE,FALSE,FALSE
"Apogonidae","Apogonichthyoides","brevicaudatus",TRUE,TRUE,FALSE,FALSE
"Apogonidae","Jaydia","argyrogaster",TRUE,TRUE,FALSE,FALSE
"Apogonidae","Ostorhinchus","cavitensis",TRUE,TRUE,FALSE,FALSE
"Apogonidae","Ostorhinchus","fasciatus",TRUE,TRUE,FALSE,FALSE
"Apogonidae","Ostorhinchus","monospilus",FALSE,FALSE,TRUE,TRUE
"Apogonidae","Ostorhinchus","semilineatus",FALSE,FALSE,TRUE,TRUE
"Apogonidae","Ostorhinchus","septemstriatus",TRUE,TRUE,FALSE,FALSE
"Apogonidae","Siphamia","roseigaster",TRUE,FALSE,FALSE,FALSE
"Ariidae","Netuma","thalassina",FALSE,FALSE,TRUE,TRUE
"Balistidae","Abalistes","stellatus",TRUE,TRUE,TRUE,FALSE
"Balistidae","Sufflamen","bursa",FALSE,FALSE,TRUE,TRUE
"Batrachoididae","Batrachomoeus","occidentalis",TRUE,FALSE,FALSE,FALSE
"Batrachoididae","Halophryne","diemensis",TRUE,FALSE,FALSE,FALSE
"Bembridae","Bembras","longipinnis",TRUE,FALSE,FALSE,FALSE
"Blenniidae","Aspidontus","taeniatus",FALSE,FALSE,TRUE,TRUE
"Blenniidae","Meiacanthus","luteus",FALSE,FALSE,TRUE,TRUE
"Bothidae","Asterorhombus","intermedius",FALSE,TRUE,FALSE,FALSE
"Bothidae","Crossorhombus","azureus",TRUE,FALSE,FALSE,FALSE
"Bothidae","Engyprosopon","grandisquama",TRUE,TRUE,FALSE,FALSE
"Bothidae","Engyprosopon","maldivensis",TRUE,FALSE,FALSE,FALSE
"Bothidae","Psettina","tosana",TRUE,FALSE,FALSE,FALSE
"Caesionidae","Dipterygonotus","balteatus",FALSE,TRUE,FALSE,FALSE
"Caesionidae","Pterocaesio","chrysozona",FALSE,TRUE,FALSE,FALSE
"Callionymidae","Dactylopus","dactylopus",TRUE,TRUE,FALSE,FALSE
"Carangidae","Alepes","apercna",TRUE,FALSE,FALSE,FALSE
"Carangidae","Atule","mate",TRUE,FALSE,TRUE,FALSE
"Carangidae","Carangoides","caeruleopinnatus",TRUE,TRUE,FALSE,FALSE
"Carangidae","Carangoides","chrysophrys",TRUE,TRUE,FALSE,FALSE
"Carangidae","Carangoides","equula",TRUE,FALSE,FALSE,FALSE
"Carangidae","Carangoides","fulvoguttatus",TRUE,FALSE,FALSE,FALSE
"Carangidae","Carangoides","gymnostethus",TRUE,TRUE,FALSE,FALSE
"Carangidae","Carangoides","talamparoides",TRUE,FALSE,FALSE,FALSE
"Carangidae","Caranx","bucculentus",TRUE,FALSE,FALSE,FALSE
"Carangidae","Caranx","ignobilis",FALSE,FALSE,TRUE,TRUE
"Carangidae","Caranx","sexfasciatus",FALSE,FALSE,TRUE,TRUE
"Carangidae","Decapterus","kurroides",TRUE,FALSE,FALSE,FALSE
"Carangidae","Decapterus","russelli",TRUE,FALSE,FALSE,FALSE
"Carangidae","Gnathanodon","speciosus",TRUE,TRUE,TRUE,FALSE
"Carangidae","Parastromateus","niger",TRUE,FALSE,FALSE,FALSE
