"family","genus","species","ALA","CSIRO","UWA","New"
"Carangidae","Platycaranx","chrysophrys",FALSE,FALSE,TRUE,TRUE
"Carangidae","Scomberoides","commersonnianus",TRUE,FALSE,TRUE,FALSE
"Carangidae","Scomberoides","lysan",FALSE,FALSE,TRUE,TRUE
"Carangidae","Selar","boops",TRUE,FALSE,FALSE,FALSE
"Carangidae","Selar","crumenophthalmus",TRUE,TRUE,FALSE,FALSE
"Carangidae","Selaroides","leptolepis",TRUE,TRUE,TRUE,FALSE
"Carangidae","Seriolina","nigrofasciata",TRUE,TRUE,TRUE,FALSE
"Carangidae","Turrum","caeruleopinnatum",FALSE,FALSE,TRUE,TRUE
"Carangidae","Turrum","fulvoguttatum",FALSE,FALSE,TRUE,TRUE
"Carangidae","Turrum","gymnostethus",FALSE,FALSE,TRUE,TRUE
"Carcharhinidae","Carcharhinus","amblyrhynchos",FALSE,FALSE,TRUE,TRUE
"Carcharhinidae","Carcharhinus","coatesi",FALSE,FALSE,TRUE,TRUE
"Carcharhinidae","Carcharhinus","leucas",FALSE,FALSE,TRUE,TRUE
"Carcharhinidae","Carcharhinus","plumbeus",FALSE,FALSE,TRUE,TRUE
"Carcharhinidae","Carcharhinus","sorrah",FALSE,FALSE,TRUE,TRUE
"Carcharhinidae","Carcharhinus","tilstoni",FALSE,FALSE,TRUE,TRUE
"Carcharhinidae","Galeocerdo","cuvier",FALSE,FALSE,TRUE,TRUE
"Carcharhinidae","Loxodon","macrorhinus",TRUE,FALSE,FALSE,FALSE
"Carcharhinidae","Negaprion","acutidens",FALSE,FALSE,TRUE,TRUE
"Carcharhinidae","Rhizoprionodon","acutus",TRUE,TRUE,FALSE,FALSE
"Carcharhinidae","Triaenodon","obesus",FALSE,FALSE,TRUE,TRUE
"Centriscidae","Centriscus","scutatus",TRUE,TRUE,FALSE,FALSE
"Chaetodontidae","Chaetodon","aureofasciatus",TRUE,TRUE,FALSE,FALSE
"Chaetodontidae","Chelmon","marginalis",TRUE,TRUE,TRUE,FALSE
"Chaetodontidae","Coradion","altivelis",TRUE,TRUE,TRUE,FALSE
"Chaetodontidae","Coradion","chrysozonus",TRUE,TRUE,TRUE,FALSE
"Chaetodontidae","Heniochus","acuminatus",TRUE,TRUE,FALSE,FALSE
"Chaetodontidae","Heniochus","diphreutes",TRUE,TRUE,FALSE,FALSE
"Chaetodontidae","Parachaetodon","ocellatus",TRUE,TRUE,TRUE,FALSE
"Chirocentridae","Chirocentrus","dorab",TRUE,FALSE,FALSE,FALSE
"Cirrhitidae","Cirrhitichthys","aprinus",TRUE,TRUE,FALSE,FALSE
"Clupeidae","Amblygaster","sirm",TRUE,TRUE,FALSE,FALSE
"Clupeidae","Herklotsichthys","lippa",TRUE,FALSE,FALSE,FALSE
"Cynoglossidae","Cynoglossus","maculipinnis",TRUE,FALSE,FALSE,FALSE
"Cynoglossidae","Paraplagusia","bilineata",TRUE,FALSE,FALSE,FALSE
"Dactylopteridae","Dactyloptena","orientalis",TRUE,FALSE,FALSE,FALSE
"Dasyatidae","Himantura","australis",TRUE,FALSE,FALSE,FALSE
"Dasyatidae","Maculabatis","astra",TRUE,TRUE,FALSE,FALSE
"Dasyatidae","Neotrygon","australiae",TRUE,TRUE,FALSE,FALSE
"Dasyatidae","Neotrygon","leylandi",TRUE,FALSE,FALSE,FALSE
"Dasyatidae","Taeniurops","meyeni",FALSE,FALSE,TRUE,TRUE
"Diodontidae","Diodon","holocanthus",FALSE,TRUE,FALSE,FALSE
"Diodontidae","Tragulichthys","jaculiferus",TRUE,TRUE,FALSE,FALSE
"Echeneidae","Echeneis","naucrates",TRUE,TRUE,TRUE,FALSE
"Enoplosidae","Enoplosus","armatus",TRUE,FALSE,FALSE,FALSE
"Ephippidae","Platax","batavianus",TRUE,TRUE,TRUE,FALSE
"Ephippidae","Platax","teira",FALSE,FALSE,TRUE,TRUE
"Ephippidae","Zabidius","novemaculeatus",FALSE,FALSE,TRUE,TRUE
"Fistulariidae","Fistularia","commersonii",TRUE,TRUE,FALSE,FALSE
"Fistulariidae","Fistularia","petimba",TRUE,TRUE,FALSE,FALSE
"Gerreidae","Gerres","filamentosus",TRUE,FALSE,FALSE,FALSE
"Ginglymostomatidae","Nebrius","ferrugineus",FALSE,FALSE,TRUE,TRUE
"Glaucosomatidae","Glaucosoma","magnificum",TRUE,TRUE,FALSE,FALSE
"Glaucostegidae","Glaucostegus","typus",FALSE,FALSE,TRUE,TRUE
"Gobiidae","Amblyeleotris","gymnocephala",FALSE,FALSE,TRUE,TRUE
"Gobiidae","Amblyeleotris","steinitzi",FALSE,FALSE,TRUE,TRUE
"Gobiidae","Priolepis","profunda",FALSE,TRUE,FALSE,FALSE
"Gobiidae","Priolepis","psygmophilia",TRUE,FALSE,FALSE,FALSE
"Haemulidae","Diagramma","pictum",TRUE,TRUE,TRUE,FALSE
"Haemulidae","Plectorhinchus","gibbosus",TRUE,FALSE,FALSE,FALSE
"Haemulidae","Plectorhinchus","multivittatus",FALSE,FALSE,TRUE,TRUE
"Haemulidae","Pomadasys","kaakan",TRUE,FALSE,FALSE,FALSE
"Hemigaleidae","Hemigaleus","australiensis",TRUE,TRUE,TRUE,FALSE
"Hemigaleidae","Hemipristis","elongata",FALSE,FALSE,TRUE,TRUE
"Hemiscylliidae","Chiloscyllium","punctatum",TRUE,TRUE,FALSE,FALSE
"Labridae","Anampses","lennardi",TRUE,TRUE,TRUE,FALSE
"Labridae","Choerodon","cauteroma",TRUE,TRUE,TRUE,FALSE
"Labridae","Choerodon","cephalotes",TRUE,TRUE,TRUE,FALSE
"Labridae","Choerodon","monostigma",TRUE,FALSE,FALSE,FALSE
"Labridae","Choerodon","schoenleinii",TRUE,TRUE,TRUE,FALSE
"Labridae","Choerodon","sugillatum",TRUE,TRUE,TRUE,FALSE
"Labridae","Choerodon","vitta",TRUE,TRUE,TRUE,FALSE
"Labridae","Coris","dorsomacula",FALSE,FALSE,TRUE,TRUE
"Labridae","Coris","pictoides",FALSE,FALSE,TRUE,TRUE
"Labridae","Iniistius","aneitensis",FALSE,FALSE,TRUE,TRUE
"Labridae","Iniistius","dea",TRUE,FALSE,FALSE,FALSE
"Labridae","Iniistius","jacksonensis",TRUE,FALSE,FALSE,FALSE
"Labridae","Iniistius","opalus",FALSE,FALSE,TRUE,TRUE
"Labridae","Labroides","dimidiatus",FALSE,FALSE,TRUE,TRUE
"Labridae","Labroides","pectoralis",FALSE,FALSE,TRUE,TRUE
"Labridae","Leptojulis","cyanopleura",FALSE,FALSE,TRUE,TRUE
"Labridae","Scarus","ghobban",TRUE,FALSE,TRUE,FALSE
"Labridae","Scarus","schlegeli",FALSE,FALSE,TRUE,TRUE
"Leiognathidae","Equulites","laterofenestra",TRUE,FALSE,FALSE,FALSE
"Lethrinidae","Gymnocranius","elongatus",TRUE,TRUE,TRUE,FALSE
"Lethrinidae","Lethrinus","genivittatus",TRUE,TRUE,TRUE,FALSE
"Lethrinidae","Lethrinus","laticaudis",TRUE,TRUE,TRUE,FALSE
"Lethrinidae","Lethrinus","lentjan",TRUE,FALSE,FALSE,FALSE
"Lethrinidae","Lethrinus","nebulosus",TRUE,TRUE,TRUE,FALSE
"Lethrinidae","Lethrinus","olivaceus",TRUE,FALSE,TRUE,FALSE
"Lethrinidae","Lethrinus","punctulatus",FALSE,TRUE,TRUE,FALSE
"Lethrinidae","Lethrinus","variegatus",FALSE,FALSE,TRUE,TRUE
"Lutjanidae","Dipterygonotus","balteatus",TRUE,FALSE,FALSE,FALSE
"Lutjanidae","Lutjanus","argentimaculatus",FALSE,FALSE,TRUE,TRUE
"Lutjanidae","Lutjanus","carponotatus",TRUE,FALSE,TRUE,FALSE
"Lutjanidae","Lutjanus","erythropterus",TRUE,TRUE,TRUE,FALSE
"Lutjanidae","Lutjanus","lemniscatus",FALSE,FALSE,TRUE,TRUE
"Lutjanidae","Lutjanus","lutjanus",TRUE,TRUE,FALSE,FALSE
"Lutjanidae","Lutjanus","malabaricus",TRUE,TRUE,TRUE,FALSE
"Lutjanidae","Lutjanus","russellii",FALSE,TRUE,FALSE,FALSE
"Lutjanidae","Lutjanus","sebae",TRUE,TRUE,TRUE,FALSE
"Lutjanidae","Lutjanus","vitta",TRUE,TRUE,TRUE,FALSE
"Lutjanidae","Pterocaesio","chrysozona",TRUE,FALSE,FALSE,FALSE
"Lutjanidae","Pterocaesio","digramma",TRUE,FALSE,FALSE,FALSE
"Lutjanidae","Symphorus","nematophorus",TRUE,TRUE,TRUE,FALSE
"Microdesmidae","Ptereleotris","microlepis",FALSE,FALSE,TRUE,TRUE
"Microdesmidae","Ptereleotris","monoptera",FALSE,FALSE,TRUE,TRUE
"Monacanthidae","Acreichthys","tomentosus",TRUE,FALSE,FALSE,FALSE
"Monacanthidae","Aluterus","monoceros",TRUE,TRUE,TRUE,FALSE
"Monacanthidae","Anacanthus","barbatus",TRUE,TRUE,TRUE,FALSE
"Monacanthidae","Chaetodermis","penicilligerus",TRUE,TRUE,TRUE,FALSE
"Monacanthidae","Eubalichthys","caeruleoguttatus",TRUE,TRUE,TRUE,FALSE
"Monacanthidae","Monacanthus","chinensis",TRUE,TRUE,FALSE,FALSE
"Monacanthidae","Paramonacanthus","choirocephalus",TRUE,FALSE,TRUE,FALSE
"Monacanthidae","Paramonacanthus","curtorhynchos",TRUE,FALSE,FALSE,FALSE
"Monacanthidae","Paramonacanthus","filicauda",TRUE,FALSE,FALSE,FALSE
"Monacanthidae","Paramonacanthus","oblongus",FALSE,TRUE,FALSE,FALSE
"Monacanthidae","Pseudomonacanthus","elongatus",TRUE,TRUE,FALSE,FALSE
"Monacanthidae","Pseudomonacanthus","peroni",TRUE,TRUE,TRUE,FALSE
"Mullidae","Parupeneus","chrysopleuron",TRUE,TRUE,TRUE,FALSE
"Mullidae","Parupeneus","ciliatus",TRUE,FALSE,FALSE,FALSE
"Mullidae","Parupeneus","heptacanthus",TRUE,TRUE,TRUE,FALSE
"Mullidae","Parupeneus","indicus",TRUE,TRUE,TRUE,FALSE
"Mullidae","Parupeneus","spilurus",TRUE,FALSE,FALSE,FALSE
"Mullidae","Upeneus","asymmetricus",TRUE,FALSE,FALSE,FALSE
"Mullidae","Upeneus","australiae",TRUE,TRUE,TRUE,FALSE
"Mullidae","Upeneus","guttatus",TRUE,TRUE,FALSE,FALSE
"Mullidae","Upeneus","luzonius",TRUE,TRUE,TRUE,FALSE
"Mullidae","Upeneus","margarethae",TRUE,TRUE,FALSE,FALSE
"Mullidae","Upeneus","tragula",TRUE,FALSE,TRUE,FALSE
"Muraenesocidae","Oxyconger","leptognathus",TRUE,FALSE,FALSE,FALSE
"Muraenidae","Gymnothorax","cribroris",TRUE,TRUE,FALSE,FALSE
"Muraenidae","Gymnothorax","thyrsoideus",FALSE,FALSE,TRUE,TRUE
"Nemipteridae","Nemipterus","celebicus",TRUE,TRUE,TRUE,FALSE
"Nemipteridae","Nemipterus","furcosus",TRUE,TRUE,TRUE,FALSE
"Nemipteridae","Nemipterus","peronii",TRUE,FALSE,FALSE,FALSE
"Nemipteridae","Pentapodus","nagasakiensis",FALSE,FALSE,TRUE,TRUE
"Nemipteridae","Pentapodus","porosus",TRUE,TRUE,TRUE,FALSE
"Nemipteridae","Scolopsis","meridiana",FALSE,TRUE,FALSE,FALSE
"Nemipteridae","Scolopsis","monogramma",TRUE,TRUE,FALSE,FALSE
"Nemipteridae","Scolopsis","regina",FALSE,FALSE,TRUE,TRUE
"Ophichthidae","Ophichthus","rutidoderma",TRUE,FALSE,FALSE,FALSE
"Ophichthidae","Phyllophichthus","xenodontus",TRUE,FALSE,FALSE,FALSE
"Ostraciidae","Lactoria","cornuta",TRUE,TRUE,FALSE,FALSE
"Ostraciidae","Lactoria","diaphana",TRUE,TRUE,FALSE,FALSE
"Ostraciidae","Ostracion","cubicus",TRUE,TRUE,FALSE,FALSE
"Ostraciidae","Ostracion","nasus",TRUE,TRUE,FALSE,FALSE
"Ostraciidae","Ostracion","rhinorhynchos",TRUE,TRUE,FALSE,FALSE
"Ostraciidae","Tetrosomus","gibbosus",TRUE,TRUE,FALSE,FALSE
"Paralichthyidae","Pseudorhombus","argus",TRUE,TRUE,TRUE,FALSE
"Paralichthyidae","Pseudorhombus","arsius",TRUE,FALSE,FALSE,FALSE
"Paralichthyidae","Pseudorhombus","diplospilus",TRUE,TRUE,FALSE,FALSE
"Paralichthyidae","Pseudorhombus","dupliciocellatus",TRUE,TRUE,FALSE,FALSE
"Paralichthyidae","Pseudorhombus","elevatus",TRUE,TRUE,FALSE,FALSE
"Paralichthyidae","Pseudorhombus","jenynsii",TRUE,FALSE,FALSE,FALSE
"Paralichthyidae","Pseudorhombus","quinquocellatus",TRUE,FALSE,FALSE,FALSE
"Paralichthyidae","Pseudorhombus","spinosus",TRUE,TRUE,FALSE,FALSE
"Pegasidae","Eurypegasus","draconis",TRUE,TRUE,FALSE,FALSE
"Pempheridae","Parapriacanthus","ransonneti",TRUE,FALSE,FALSE,FALSE
"Pempherididae","Parapriacanthus","ransonetti",FALSE,TRUE,FALSE,FALSE
"Pinguipedidae","Parapercis","alboguttata",TRUE,FALSE,FALSE,FALSE
"Pinguipedidae","Parapercis","nebulosa",TRUE,TRUE,TRUE,FALSE
"Pinguipedidae","Parapercis","snyderi",FALSE,FALSE,TRUE,TRUE
"Pinguipedidae","Parapercis","xanthozona",FALSE,FALSE,TRUE,TRUE
"Platycephalidae","Cymbacephalus","bosschei",TRUE,TRUE,FALSE,FALSE
"Platycephalidae","Cymbacephalus","nematophthalmus",TRUE,TRUE,FALSE,FALSE
"Platycephalidae","Cymbacephalus","parilis",TRUE,FALSE,FALSE,FALSE
"Platycephalidae","Inegocia","japonica",TRUE,FALSE,FALSE,FALSE
"Platycephalidae","Onigocia","grandisquama",FALSE,TRUE,FALSE,FALSE
"Platycephalidae","Onigocia","grandisquamis",TRUE,FALSE,FALSE,FALSE
"Platycephalidae","Onigocia","oligolepis",TRUE,FALSE,FALSE,FALSE
"Platycephalidae","Platycephalus","australis",TRUE,FALSE,FALSE,FALSE
"Platycephalidae","Platycephalus","endrachtensis",TRUE,TRUE,FALSE,FALSE
"Platycephalidae","Platycephalus","westraliae",TRUE,TRUE,TRUE,FALSE
"Platycephalidae","Rogadius","tuberculatus",FALSE,TRUE,FALSE,FALSE
"Plotosidae","Paraplotosus","albilabris",FALSE,FALSE,TRUE,TRUE
"Plotosidae","Plotosus","lineatus",TRUE,FALSE,FALSE,FALSE
"Pomacanthidae","Chaetodontoplus","duboulayi",TRUE,TRUE,TRUE,FALSE
"Pomacanthidae","Chaetodontoplus","personifer",TRUE,TRUE,TRUE,FALSE
"Pomacanthidae","Pomacanthus","sexstriatus",TRUE,TRUE,TRUE,FALSE
"Pomacentridae","Abudefduf","bengalensis",TRUE,FALSE,FALSE,FALSE
"Pomacentridae","Acanthochromis","polyacanthus",FALSE,FALSE,TRUE,TRUE
"Pomacentridae","Amphiprion","clarkii",TRUE,FALSE,TRUE,FALSE
"Pomacentridae","Chromis","fumea",TRUE,TRUE,FALSE,FALSE
"Pomacentridae","Chromis","westaustralis",TRUE,FALSE,FALSE,FALSE
"Pomacentridae","Pristotis","obtusirostris",TRUE,TRUE,TRUE,FALSE
"Priacanthidae","Cookeolus","japonicus",TRUE,FALSE,FALSE,FALSE
"Priacanthidae","Priacanthus","hamrur",TRUE,TRUE,FALSE,FALSE
"Priacanthidae","Priacanthus","macracanthus",TRUE,FALSE,FALSE,FALSE
"Priacanthidae","Priacanthus","tayenus",TRUE,TRUE,FALSE,FALSE
"Psettodidae","Psettodes","erumei",TRUE,TRUE,FALSE,FALSE
"Pseudochromidae","Congrogadus","spinifer",TRUE,TRUE,FALSE,FALSE
"Pseudochromidae","Pseudochromis","quinquedentatus",TRUE,TRUE,FALSE,FALSE
"Rachycentridae","Rachycentron","canadum",TRUE,TRUE,TRUE,FALSE
"Rhinidae","Rhynchobatus","australiae",FALSE,TRUE,TRUE,FALSE
"Rhinobatidae","Aptychotrema","vincentiana",TRUE,FALSE,FALSE,FALSE
"Rhynchobatidae","Rhynchobatus","australiae",TRUE,FALSE,FALSE,FALSE
"Scaridae","Scarus","ghobban",FALSE,TRUE,FALSE,FALSE
"Scombridae","Cybiosarda","elegans",FALSE,FALSE,TRUE,TRUE
"Scombridae","Rastrelliger","kanagurta",TRUE,FALSE,FALSE,FALSE
"Scombridae","Scomberomorus","commerson",FALSE,FALSE,TRUE,TRUE
"Scorpaenidae","Dendrochirus","zebra",TRUE,FALSE,FALSE,FALSE
"Scorpaenidae","Neomerinthe","amplisquamiceps",TRUE,FALSE,FALSE,FALSE
"Scorpaenidae","Pterois","russelii",TRUE,FALSE,FALSE,FALSE
"Scorpaenidae","Pterois","volitans",TRUE,FALSE,FALSE,FALSE
"Scyliorhinidae","Atelomycterus","fasciatus",TRUE,TRUE,FALSE,FALSE
"Serranidae","Cephalopholis","boenak",TRUE,TRUE,TRUE,FALSE
"Serranidae","Diploprion","bifasciatum",TRUE,TRUE,FALSE,FALSE
"Serranidae","Epinephelus","areolatus",TRUE,TRUE,TRUE,FALSE
"Serranidae","Epinephelus","bilobatus",FALSE,FALSE,TRUE,TRUE
"Serranidae","Epinephelus","bleekeri",FALSE,FALSE,TRUE,TRUE
"Serranidae","Epinephelus","coioides",TRUE,FALSE,TRUE,FALSE
"Serranidae","Epinephelus","fasciatus",TRUE,FALSE,TRUE,FALSE
"Serranidae","Epinephelus","maculatus",TRUE,FALSE,FALSE,FALSE
"Serranidae","Epinephelus","multinotatus",TRUE,TRUE,FALSE,FALSE
"Serranidae","Epinephelus","quoyanus",TRUE,FALSE,TRUE,FALSE
"Serranidae","Epinephelus","rankini",FALSE,FALSE,TRUE,TRUE
"Serranidae","Plectropomus","maculatus",TRUE,TRUE,TRUE,FALSE
"Setarchidae","Lythrichthys","dentatus",TRUE,FALSE,FALSE,FALSE
"Siganidae","Siganus","fuscescens",TRUE,TRUE,TRUE,FALSE
"Sillaginidae","Sillago","analis",TRUE,FALSE,FALSE,FALSE
"Sillaginidae","Sillago","ingenuua",TRUE,TRUE,FALSE,FALSE
"Sillaginidae","Sillago","robusta",FALSE,FALSE,TRUE,TRUE
"Soleidae","Aseraggodes","melanospilos",FALSE,TRUE,FALSE,FALSE
"Soleidae","Liachirus","melanospilos",TRUE,FALSE,FALSE,FALSE
"Soleidae","Pardachirus","pavoninus",TRUE,FALSE,FALSE,FALSE
"Sparidae","Argyrops","bleekeri",FALSE,TRUE,TRUE,FALSE
"Sparidae","Argyrops","spinifer",TRUE,FALSE,FALSE,FALSE
"Sphyraenidae","Sphyraena","barracuda",FALSE,FALSE,TRUE,TRUE
"Sphyraenidae","Sphyraena","jello",FALSE,FALSE,TRUE,TRUE
"Sphyraenidae","Sphyraena","obtusata",TRUE,FALSE,FALSE,FALSE
"Sphyraenidae","Sphyraena","pinguis",TRUE,FALSE,FALSE,FALSE
"Sphyrnidae","Sphyrna","mokarran",FALSE,FALSE,TRUE,TRUE
"Stegostomatidae","Stegostoma","tigrinum",FALSE,FALSE,TRUE,TRUE
"Synanceiidae","Inimicus","didactylus",TRUE,FALSE,FALSE,FALSE
"Synanceiidae","Inimicus","sinensis",FALSE,TRUE,FALSE,FALSE
"Synanceiidae","Minous","roseus",TRUE,FALSE,FALSE,FALSE
"Syngnathidae","Hippocampus","zebra",TRUE,TRUE,FALSE,FALSE
"Synodontidae","Saurida","grandisquamis",TRUE,FALSE,FALSE,FALSE
"Synodontidae","Saurida","undosquamis",TRUE,TRUE,TRUE,FALSE
"Synodontidae","Synodus","indicus",TRUE,TRUE,FALSE,FALSE
"Synodontidae","Synodus","sageneus",TRUE,TRUE,FALSE,FALSE
"Synodontidae","Trachinocephalus","trachinus",TRUE,TRUE,FALSE,FALSE
"Terapontidae","Terapon","jarbua",TRUE,FALSE,FALSE,FALSE
"Tetraodontidae","Canthigaster","cyanospilota",FALSE,TRUE,FALSE,FALSE
"Tetraodontidae","Feroxodon","multistriatus",TRUE,TRUE,TRUE,FALSE
"Tetraodontidae","Lagocephalus","inermis",TRUE,FALSE,FALSE,FALSE
"Tetraodontidae","Lagocephalus","lunaris",FALSE,FALSE,TRUE,TRUE
"Tetraodontidae","Lagocephalus","sceleratus",TRUE,TRUE,TRUE,FALSE
"Tetraodontidae","Torquigener","hicksi",FALSE,FALSE,TRUE,TRUE
"Tetraodontidae","Torquigener","pallimaculatus",TRUE,TRUE,TRUE,FALSE
"Tetrarogidae","Cottapistus","cottoides",TRUE,FALSE,FALSE,FALSE
"Tetrarogidae","Liocranium","pleurostigma",TRUE,TRUE,FALSE,FALSE
"Tetrarogidae","Richardsonichthys","leucogaster",FALSE,TRUE,FALSE,FALSE
"Trichonotidae","Trichonotus","setiger",TRUE,FALSE,FALSE,FALSE
"Uranoscopidae","Ichthyscopus","insperatus",TRUE,TRUE,FALSE,FALSE
"Uranoscopidae","Uranoscopus","bicinctus",FALSE,TRUE,FALSE,FALSE
"Veliferidae","Velifer","hypselopterus",TRUE,FALSE,FALSE,FALSE
"Zanclidae","Zanclus","cornutus",TRUE,FALSE,FALSE,FALSE
